,Year,Month,Common_Words,Word_Count
737,2002,10,bright,6.3061224489795915
738,2002,10,moving,6.3061224489795915
739,2002,10,shaped,6.1020408163265305
740,2002,10,seen,5.6938775510204085
741,2002,10,rocket,5.081632653061225
742,2002,10,saw,4.877551020408163
743,2002,10,flying,4.877551020408163
744,2002,10,Vandenberg,4.673469387755102
745,2002,10,like,4.469387755102041
746,2002,10,PD,4.469387755102041
747,2002,10,UFO,4.26530612244898
748,2002,10,launch,4.26530612244898
749,2002,10,Bright,4.061224489795919
750,2002,10,north,3.857142857142857
751,2002,10,red,3.6530612244897958
752,2003,10,object,11.0
753,2003,10,sky,9.823529411764707
754,2003,10,light,9.705882352941176
755,2003,10,lights,9.235294117647058
756,2003,10,bright,6.176470588235294
757,2003,10,white,6.0588235294117645
758,2003,10,saw,5.352941176470588
759,2003,10,moving,5.0
760,2003,10,shaped,4.1764705882352935
761,2003,10,UFO,3.9411764705882355
762,2003,10,seen,3.9411764705882355
763,2003,10,night,3.823529411764706
764,2003,10,large,3.588235294117647
765,2003,10,red,3.4705882352941178
766,2003,10,flying,3.4705882352941178
767,2003,10,craft,3.3529411764705883
768,2003,10,REPORT,3.3529411764705883
769,2003,10,shape,3.235294117647059
770,2003,10,green,3.1176470588235294
771,2003,10,fast,3.1176470588235294
772,2004,10,lights,11.0
773,2004,10,sky,8.166666666666668
774,2004,10,light,7.333333333333333
775,2004,10,red,6.5
776,2004,10,object,6.166666666666667
777,2004,10,3,4.75
778,2004,10,moving,4.583333333333334
779,2004,10,bright,3.9166666666666665
780,2004,10,shaped,3.5833333333333335
781,2004,10,formation,3.5833333333333335
782,2004,10,objects,3.5
783,2004,10,one,3.5
784,2004,10,NUFORC,3.3333333333333335
785,2004,10,Note,3.3333333333333335
786,2004,10,PD,3.3333333333333335
787,2004,10,white,3.1666666666666665
788,2004,10,across,3.0
789,2004,10,triangle,3.0
790,2004,10,saw,2.916666666666667
791,2004,10,Red,2.833333333333333
792,2005,10,lights,11.0
793,2005,10,sky,10.473684210526315
794,2005,10,light,9.631578947368421
795,2005,10,object,8.473684210526315
796,2005,10,bright,5.842105263157895
797,2005,10,moving,5.631578947368421
798,2005,10,red,5.421052631578948
799,2005,10,3,4.894736842105264
800,2005,10,PD,4.789473684210526
801,2005,10,NUFORC,4.684210526315789
802,2005,10,Note,4.684210526315789
803,2005,10,white,4.368421052631579
804,2005,10,shaped,4.157894736842105
805,2005,10,objects,4.052631578947368
806,2005,10,saw,3.6315789473684212
807,2005,10,flying,3.526315789473684
808,2005,10,like,3.526315789473684
809,2005,10,seen,3.526315789473684
810,2005,10,one,3.210526315789474
811,2005,10,craft,3.210526315789474
812,2006,10,lights,11.0
813,2006,10,object,10.583333333333334
814,2006,10,sky,10.444444444444445
815,2006,10,light,9.194444444444445
816,2006,10,bright,6.0
817,2006,10,white,5.722222222222222
818,2006,10,moving,5.722222222222222
819,2006,10,shaped,5.583333333333333
820,2006,10,objects,4.194444444444445
821,2006,10,seen,3.9166666666666665
822,2006,10,flying,3.9166666666666665
823,2006,10,orange,3.7777777777777777
824,2006,10,craft,3.7777777777777777
825,2006,10,2,3.7777777777777777
826,2006,10,PD,3.638888888888889
827,2006,10,NUFORC,3.5
828,2006,10,Note,3.5
829,2006,10,UFO,3.5
830,2006,10,night,3.361111111111111
831,2006,10,saw,3.361111111111111
832,2007,10,lights,11.0
833,2007,10,sky,10.24731182795699
834,2007,10,light,8.526881720430108
835,2007,10,object,8.096774193548388
836,2007,10,bright,6.376344086021505
837,2007,10,moving,5.623655913978495
838,2007,10,white,5.408602150537634
839,2007,10,NUFORC,4.763440860215054
840,2007,10,Note,4.763440860215054
841,2007,10,PD,4.763440860215054
842,2007,10,UFO,4.440860215053764
843,2007,10,seen,4.225806451612903
844,2007,10,craft,4.118279569892473
845,2007,10,red,3.795698924731183
846,2007,10,shaped,3.795698924731183
847,2007,10,Bright,3.5806451612903225
848,2007,10,flying,3.3655913978494625
849,2007,10,night,3.043010752688172
850,2007,10,2,3.043010752688172
851,2007,10,3,3.043010752688172
852,2008,10,lights,11.0
853,2008,10,light,10.595959595959595
854,2008,10,sky,10.090909090909092
855,2008,10,object,8.171717171717173
856,2008,10,moving,6.252525252525253
857,2008,10,white,6.151515151515151
858,2008,10,bright,5.94949494949495
859,2008,10,shaped,4.737373737373737
860,2008,10,seen,4.737373737373737
861,2008,10,flying,4.232323232323232
862,2008,10,saw,4.03030303030303
